Domain,Status,Attractiveness,Demand,Length,Sectors,Created,Expires,Registrar
abducens.tube,available,54,1%,8,Medicine,,,
accentual.tube,available,54,3%,9,"Arts,Entertainment",,,
threescore.tube,available,54,1%,10,Mathematics,,,
septet.tube,available,53,1%,6,General,,,
sestet.tube,available,53,1%,6,Arts,,,
lxxiv.tube,available,52,1%,5,Mathematics,,,
eightyone.tube,available,52,3%,10,Mathematics,,,
lxi.tube,available,52,5%,3,Mathematics,,,
lxxv.tube,available,52,1%,4,Mathematics,,,
ninetyone.tube,available,52,5%,10,Mathematics,,,
eightytwo.tube,available,52,4%,10,Mathematics,,,
lxiv.tube,available,52,3%,4,Mathematics,,,
lxxxi.tube,available,52,1%,5,Mathematics,,,
sixtytwo.tube,available,52,3%,9,Mathematics,,,
lxxi.tube,available,52,1%,4,Mathematics,,,
tierce.tube,available,52,3%,6,General,,,
lxviii.tube,available,52,1%,6,Mathematics,,,
sixtyfour.tube,available,52,3%,10,Mathematics,,,
sixtyfive.tube,available,52,3%,10,Mathematics,,,
ixl.tube,available,52,9%,3,Mathematics,,,
lxxxvii.tube,available,52,1%,7,Mathematics,,,
ablated.tube,available,52,1%,7,Science,,,
littlejoe.tube,available,52,2%,10,"Entertainment,Media",,,
lxxvi.tube,available,52,1%,5,Mathematics,,,
chagrined.tube,available,52,1%,9,Humanities,,,
xci.tube,available,52,4%,3,Mathematics,,,
lxii.tube,available,52,1%,4,Mathematics,,,
lxxxvi.tube,available,52,1%,6,Mathematics,,,
xcii.tube,available,52,2%,4,Mathematics,,,
xcvii.tube,available,52,1%,5,Mathematics,,,
uphill.tube,available,52,7%,6,"Sports,Transportation,Travel",,,
repulsive.tube,available,52,1%,9,Humanities,,,
aboulic.tube,available,52,1%,7,Medicine,,,
ninetysix.tube,available,52,4%,10,Mathematics,,,
abstruse.tube,available,52,5%,8,"Humanities,Mathematics,Science",,,
lxxxiv.tube,available,52,1%,6,Mathematics,,,
abominable.tube,available,52,2%,10,"Entertainment,Humanities",,,
lxiii.tube,available,52,2%,5,Mathematics,,,
ninetytwo.tube,available,52,4%,10,Mathematics,,,
lxxxii.tube,available,52,1%,6,Mathematics,,,
repugnant.tube,available,52,1%,9,Humanities,,,
lxxxiii.tube,available,52,1%,7,Mathematics,,,
xciii.tube,available,52,1%,5,Mathematics,,,
odious.tube,available,52,2%,6,"Entertainment,Humanities",,,
detestable.tube,available,52,1%,10,Humanities,,,
sixtysix.tube,available,52,4%,9,Mathematics,,,
decumbent.tube,available,52,1%,9,"Healthcare,Medicine,Science",,,
lxv.tube,available,52,5%,3,Mathematics,,,
lxxvii.tube,available,52,2%,6,Mathematics,,,
abysmal.tube,available,52,4%,7,"Arts,Entertainment,Media",,,
abusive.tube,available,52,3%,7,"Healthcare,Law",,,
lxxxv.tube,available,52,1%,5,Mathematics,,,
lxvii.tube,available,52,1%,5,Mathematics,,,
xcviii.tube,available,52,1%,6,Mathematics,,,
lxxiii.tube,available,52,1%,6,Mathematics,,,
lxxii.tube,available,52,1%,5,Mathematics,,,
ixc.tube,available,52,5%,3,Mathematics,,,
lxvi.tube,available,52,3%,4,Mathematics,,,
xciv.tube,available,52,2%,4,Mathematics,,,
xcv.tube,available,52,7%,3,Mathematics,,,
adenoidal.tube,available,52,1%,9,"Health and Fitness,Medicine,Science",,,
xcvi.tube,available,52,2%,4,Mathematics,,,
lxx.tube,available,50,5%,3,Mathematics,,,
quint.tube,available,50,13%,5,"Arts,Entertainment",,,
acaudal.tube,available,50,1%,7,"Agriculture,Science",,,
scummy.tube,available,50,1%,6,Humanities,,,
cinque.tube,available,50,7%,6,Mathematics,,,
acapnotic.tube,available,50,0%,9,"Healthcare,Medicine,Science",,,
trine.tube,available,50,11%,5,"General,Religion",,,
abducting.tube,available,50,0%,9,Medicine,,,
acellular.tube,available,50,1%,9,Science,,,
acapnic.tube,available,50,0%,7,"Healthcare,Medicine,Science",,,
acetose.tube,available,50,1%,7,Science,,,
adhominem.tube,available,50,2%,10,"Humanities,Law,Politics",,,
aculeated.tube,available,50,0%,9,"Engineering,Medicine,Science",,,
vinegary.tube,available,50,1%,8,Food and Beverage,,,
abbatial.tube,available,50,0%,8,Religion,,,
needlelike.tube,available,50,0%,10,"Engineering,Medicine,Science",,,
abranchial.tube,available,50,0%,10,Science,,,
acquitted.tube,available,50,1%,9,Law,,,
acerbic.tube,available,50,2%,7,"Arts,Humanities,Media",,,
acerb.tube,available,50,2%,5,Science,,,
acerose.tube,available,50,1%,7,Science,,,
broached.tube,available,50,0%,8,Food and Beverage,,,
gillless.tube,available,50,0%,9,Science,,,
acetous.tube,available,50,1%,7,Science,,,
adactylous.tube,available,50,0%,10,Science,,,
ogdoad.tube,available,50,1%,6,Mathematics,,,
triplet.tube,available,50,8%,7,Science,,,
spinous.tube,available,50,1%,7,"Agriculture,Science",,,
abactinal.tube,available,50,0%,9,Science,,,
abdicable.tube,available,50,0%,9,Law,,,
abomasal.tube,available,50,0%,8,Agriculture,,,
aborticide.tube,available,50,0%,10,Medicine,,,
notguilty.tube,available,48,5%,10,Law,,,
ilxxx.tube,available,48,1%,5,Mathematics,,,
abstracted.tube,available,48,5%,10,"Arts,Humanities,Science",,,
ilxx.tube,available,48,1%,4,Mathematics,,,
apriori.tube,available,48,13%,8,Mathematics,,,
abyssal.tube,available,48,12%,7,"Arts,Entertainment,Media",,,
execrable.tube,available,48,0%,9,"Entertainment,Humanities",,,
lxxxviii.tube,available,48,1%,8,Mathematics,,,
cotyloid.tube,available,46,1%,8,Science,,,
acapnial.tube,available,46,0%,8,"Healthcare,Medicine,Science",,,
vinegarish.tube,available,46,1%,10,Food and Beverage,,,
acarpelous.tube,available,46,0%,10,"Agriculture,Science",,,
quaternary.tube,available,46,3%,10,Mathematics,,,
achromic.tube,available,46,2%,8,Science,,,
theabsurd.tube,available,46,1%,10,"Arts,Entertainment,Media",,,
acheronian.tube,available,46,1%,10,Humanities,,,
stripling.tube,available,46,2%,9,"Education,Entertainment,Healthcare",,,
acanthoid.tube,available,46,1%,9,"Agriculture,Science",,,
acetylenic.tube,available,46,1%,10,Science,,,
acanthous.tube,available,46,0%,9,"Agriculture,Science",,,
achromous.tube,available,46,1%,9,Science,,,
stemless.tube,available,46,2%,8,"Agriculture,Science",,,
acephalous.tube,available,46,1%,10,Science,,,
acaudate.tube,available,46,1%,8,"Agriculture,Science",,,
acetonic.tube,available,46,1%,8,Science,,,
acicular.tube,available,46,2%,8,Science,,,
acetabular.tube,available,46,1%,10,Science,,,
achenial.tube,available,46,1%,8,Science,,,
acetylic.tube,available,46,1%,8,Science,,,
acanthotic.tube,available,46,0%,10,"Agriculture,Science",,,
acarpous.tube,available,46,0%,8,"Agriculture,Science",,,
cotyloidal.tube,available,44,1%,10,Science,,,
acherontic.tube,available,44,1%,10,Humanities,,,
accusatory.tube,available,44,1%,10,Law,,,
abscessed.tube,available,41,0%,9,Healthcare,,,
phoebe.tube,available,41,14%,6,Science,,,
accurst.tube,available,40,1%,7,Religion,,,
accusive.tube,available,40,1%,8,Law,,,
scurrilous.tube,available,40,1%,10,"Entertainment,Media,Politics",,,
